id,fips,county,city,state,sizecat,pop,density,anchor,limit
1,6075,San Francisco,San Francisco,CA,2,881549,17255,02/01/2020,02/15/2020
2,53033,Seattle,Seattle,WA,2,2252782,5175,02/01/2020,03/15/2020
3,36061,New York,New York,NY,1,5803210,40306,02/01/2020,03/15/2020
4,39035,Cuyahoga,Cleveland,OH,2,1235072,3063,02/01/2020,03/15/2020
5,48113,Dallas,Dallas,TX,2,2635516,4000,02/01/2020,03/15/2020
6,39151,Stark,Canton,OH,3,370606,1688,02/01/2020,03/15/2020
7,34013,Essex,Newark,NJ,3,798975,6396,02/01/2020,03/15/2020
8,13089,DeKalb,Atlanta,GA,2,1063937,2708,02/01/2020,03/15/2020
9,17167,Sangamon,Springfield,IL,3,194672,1747,02/01/2020,03/15/2020
10,38015,Burleigh,Bismarck,ND,3,95626,2157,02/01/2020,03/15/2020
11,4013,Maricopa,Phoenix,AZ,1,4485414,2798,03/01/2020,03/25/2020
12,42003,Allegheny,Pittsburgh,PA,2,1216045,5461,02/01/2020,03/25/2020
13,27053,Hennepin,Minneapolis,MN,2,1265843,7821,02/01/2020,03/25/2020
14,31055,Douglas,Omaha,NE,2,571327,3378,02/01/2020,03/25/2020
15,8031,Denver,Denver,CO,2,727211,4520,02/01/2020,03/25/2020
